Feature,Gain,Cover,Frequency,Importance
Var126,0.14710417583919,0.182080577761429,0.0929994890137966,0.14710417583919
Var126_NAVar216Var218,0.0516468899878191,0.0494695667144133,0.0178845171180378,0.0516468899878191
Var126_NAVar205Var206,0.0430405640309744,0.0419769955239713,0.0127746550843127,0.0430405640309744
Var189,0.0391727660014129,0.049699314862792,0.0352580480327031,0.0391727660014129
Var74,0.0327908592765149,0.0306595917722784,0.0245273377618804,0.0327908592765149
Var113,0.0297754772921946,0.0274757888791201,0.030148185998978,0.0297754772921946
Var126_NAVar218Var229,0.0199395449675206,0.0202993468964784,0.00766479305058763,0.0199395449675206
Var126_NAVar212Var218,0.0174372600429712,0.0148219511949991,0.00766479305058763,0.0174372600429712
Var199Var205Var210,0.0171415464695549,0.01425214991345,0.0112416964741952,0.0171415464695549
Var210Var218Var226,0.0156106754690546,0.016461863533967,0.0143076136944303,0.0156106754690546
Var126_NAVar206Var218,0.0155178225983736,0.0166481799558904,0.0056208482370976,0.0155178225983736
Var126_NAVar212Var216,0.0133639633030694,0.0138055650450663,0.00357690342360756,0.0133639633030694
Var126_NAVar208Var216,0.0123561402934739,0.0118381264823586,0.00613183444047011,0.0123561402934739
Var206Var210Var229,0.0107392560868407,0.00823401816025558,0.00664282064384262,0.0107392560868407
Var210Var212Var218,0.010280104721025,0.00864369346368903,0.00459887583035258,0.010280104721025
Var199Var205Var218,0.00822074189798296,0.00576542442512675,0.00868676545733265,0.00822074189798296
Var81,0.00814534339316897,0.012208621201001,0.0102197240674502,0.00814534339316897
Var210Var218Var229,0.0073678948601812,0.0093810604690502,0.00510986203372509,0.0073678948601812
Var207Var228,0.00708696058383089,0.00595125556275154,0.00408788962698007,0.00708696058383089
Var205Var218Var229,0.00666238710570146,0.0108282739745739,0.00408788962698007,0.00666238710570146
Var73,0.00635282034870196,0.00716760139202214,0.00664282064384262,0.00635282034870196
Var6,0.00631450615111254,0.000382670105653554,0.00459887583035258,0.00631450615111254
Var126_NAVar199Var210,0.00627823323423026,0.00623616134503705,0.00408788962698007,0.00627823323423026
Var198Var219,0.00622784874643741,0.0100686180030275,0.00817577925396014,0.00622784874643741
Var206Var216Var226,0.00621172296198534,0.00677440444534644,0.00715380684721513,0.00621172296198534
Var192Var218Var226,0.00594920268662846,0.00371154533491901,0.00613183444047011,0.00594920268662846
